# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Aalen	family	Q3429815
Aall	family	Q16160949
Aaloka Kanhere	label	Q102368886
Aalst	family	Q6524086
Aaltio	family	Q20253844
Aaltola	family	Q514065
Aameek Singh	label	Q102345359
Aamer	family	Q134520248
Aamir Saeed Malik	label	Q56950597
Aamlid	family	Q12007754
Aamo	family	Q4579598
Aamot	family	Q11980824
Aanderaa	family	Q7629924
Aanund Hylland	label	Q4661614
Aapo Hyvärinen	label	Q18632706
Aaram Yun	label	Q28003151
Aarand Roos	label	Q16407029
Aarao Ben-Joseph	label	Q9559822
Aardal	family	Q59777406
Aare Koppel	label	Q61110027
Aare Luts	label	Q58184980
Aare Oja	label	Q124338467
Aare Purga	label	Q16404487
Aare Renzer	label	Q16406691
Aarik	family	Q24546254
Aarma	family	Q12363122
Aarna	family	Q12363682
Aarne Kasikov	label	Q134593821
Aarne Kuusi	label	Q20252023
Aarne Männik	label	Q16404266
Aarne Pärnpuu	label	Q12358102
Aarne Ranta	label	Q102257069
Aarnes	family	Q12715833
Aarni Nyberg	label	Q20252454
Aarni Perko	label	Q23039934
Aarnio	family	Q3739317
Aarno Niini	label	Q5398120
Aaro Hazak	label	Q12358110
Aaron	family	Q3398798
Aaron A Lester	label	Q48815810
Aaron Afia	label	Q56282639
Aaron Angerami	label	Q64863731
Aaron Auerbach	label	Q111556119
Aaron Bakst	label	Q59532946
Aaron ben Joseph of Constantinople	label	Q302961
Aaron Ben-Ze'ev	label	Q6948211
Aaron Bernstein	label	Q58065330
Aaron Bertram	label	Q102169747
Aaron Brown	label	Q102387263
Aaron Brückner	label	Q19959077
Aaron C. Courville	label	Q27986987
Aaron Charles Pattee	label	Q107688527
Aaron Clauset	label	Q25202462
Aaron D. Lanterman	label	Q108579965
Aaron D. Levin	label	Q102282302
Aaron D. O'Connell	label	Q2895013
Aaron D. Wyner	label	Q4661950
Aaron David Abrams	label	Q102204124
Aaron Dingler	label	Q114441429
Aaron Director	label	Q2370301
Aaron E. Lefohn	label	Q102300152
Aaron E. Miller	label	Q4661985
Aaron Earl Darling	label	Q37391146
Aaron Edlin	label	Q4661990
Aaron Farrugia	label	Q4661996
Aaron Fogelson	label	Q102171024
Aaron Franco Pinhero	label	Q137593749
Aaron Gaio	label	Q112194950
Aaron Galuten	label	Q84607007
Aaron Giles	label	Q8183613
Aaron Gilmore	label	Q4662039
Aaron Gray	label	Q102400931
Aaron Greicius	label	Q102342638
Aaron Ismach	label	Q108364282
Aaron J. Cotnoir	label	Q112136816
Aaron J. Gellman	label	Q102626704
Aaron J. Roodman	label	Q67403825
Aaron J. Singleton	label	Q112483115
Aaron Johnson	label	Q102353858
Aaron Joseph Pollack	label	Q102525830
Aaron Kershenbaum	label	Q102191263
Aaron Kjell Rendahl	label	Q102363276
Aaron Klein	label	Q2918020
Aaron Kraus	label	Q134974581
Aaron Laforge	label	Q87631006
Aaron Lawrence Breiter Pratt Shepherd	label	Q113760141
Aaron Lee Hagen	label	Q102196612
Aaron Lemonick	label	Q4662193
Aaron Looney	label	Q113829299
Aaron Lynch	label	Q4662230
Aaron M. Covington	label	Q61641890
Aaron M. Tenenbaum	label	Q102312015
Aaron Marcus	label	Q4662235
Aaron Meskin	label	Q60022185
Aaron N. Mehrotra	label	Q30077971
Aaron Naber	label	Q44583522
Aaron Nathan Siegel	label	Q102290138
Aaron P. Tikuisis	label	Q37393414
Aaron Parsons	label	Q4662311
Aaron Perry	label	Q105627678
Aaron Phipps	label	Q57432137
Aaron Pixton	label	Q4662337
Aaron Podolefsky	label	Q59533647
Aaron Preston	label	Q97010930
Aaron Riches	label	Q4662360
Aaron Robertson	label	Q102192763
Aaron Ross Powell	label	Q113734304
Aaron Roth	label	Q60177418
Aaron Rudolf Tratter	label	Q126691877
Aaron S. Goldman	label	Q102199823
Aaron Sahr	label	Q130789043
Aaron Samuel Tamares	label	Q29548683
Aaron Scherzinger	label	Q102939049
Aaron Schulman	label	Q102442055
Aaron Segal	label	Q134579006
Aaron Seigo	label	Q92974
Aaron Shon	label	Q102320791
Aaron Sidney Baker	label	Q124304249
Aaron Smith	label	Q103098423
Aaron Smuts	label	Q97285935
Aaron Snoswell	label	Q131521279
Aaron Sojourner	label	Q98576299
Aaron Solomon Gumperz	label	Q2907871
Aaron Spettl	label	Q57978264
Aaron T Curns	label	Q114398509
Aaron Thegeya	label	Q125387722
Aaron Thomas-Bolduc	label	Q103013407
Aaron Titus	label	Q136006798
Aaron Tomb	label	Q102402845
Aaron Tornell	label	Q30070266
Aaron Turon	label	Q102429873
Aaron Valero	label	Q1157270
Aaron Vansintjan	label	Q124304252
Aaron Webster	label	Q130766941
Aaron Weimann	label	Q89671578
Aaron Wetzler	label	Q103358194
Aaron Wildavsky	label	Q1918516
Aaron William Bauer	label	Q113667779
Aaron Wootton	label	Q102165035
Aaron Wyatt Simons	label	Q103285222
Aaron Y. S. Kim	label	Q103095797
Aaron Yalow	label	Q120829677
Aaron Yelowitz	label	Q41804228
Aaronovich	family	Q3378851
Aarons	family	Q22002944
